fir_id,fir_number,date_filed,time_filed,police_station,district,crime_type,ipc_sections,location_description,latitude,longitude,description_text,status
1,FIR-2024-MG -001,2024-08-03,02:00,MG Road PS,Bengaluru Central,burglary,420,"Talwar Street, MG Road",13.003202,77.642398,At approximately 04:45 hours unknown persons cut the electrical supply line at the rear of the premises and gained entry through the rear window by breaking the iron grille. Gold ornaments weighing 43 grams and cash of Rs 48287 were stolen.,under_investigation
2,FIR-2024-JP -002,2024-01-18,14:45,JP Nagar PS,Bengaluru South,robbery,379,"Chahal Zila, JP Nagar",12.888891,77.536403,Armed persons numbering 2 threatened the complainant at Sane Nagar junction and forcibly took cash of Rs 62728 and a mobile phone.,under_investigation
3,FIR-2023-IND-003,2023-10-13,21:45,Indiranagar PS,Bengaluru East,burglary,392,"Khanna Path, Indiranagar",12.982323,77.663135,Unknown miscreants gained entry into the premises by forcing the front door lock with a crowbar. Cash of Rs 54914 and electronic items were removed while the family was away.,chargesheeted
4,FIR-2024-IND-004,2024-10-23,03:00,Indiranagar PS,Bengaluru East,robbery,420,"Saini Street, Indiranagar",13.001221,77.670859,Armed persons numbering 5 threatened the complainant at Mandal Nagar junction and forcibly took cash of Rs 145584 and a mobile phone.,open
5,FIR-2023-JP -005,2023-02-21,20:00,JP Nagar PS,Bengaluru South,chain_snatching,379,"Bhavsar Marg, JP Nagar",12.956737,77.61487,The victim was walking near Chada junction when two persons on a motorcycle approached from behind. The pillion rider snatched the gold chain weighing 38 grams from the victim neck. The accused fled towards Hosur Road.,chargesheeted
6,FIR-2024-VIJ-006,2024-07-23,21:45,Vijayanagar PS,Bengaluru West,robbery,392,"Sathe, Vijayanagar",12.93879,77.52177,Armed persons numbering 2 threatened the complainant at Bhagat Ganj junction and forcibly took cash of Rs 19985 and a mobile phone.,open
7,FIR-2023-MG -007,2023-03-11,21:15,MG Road PS,Bengaluru Central,assault,420,"Dass Zila, MG Road",12.933589,77.633629,The complainant was physically attacked by 4 unknown persons near Rama Path junction at approximately 18:00 hours. The victim sustained minor injuries.,under_investigation
8,FIR-2023-CUB-008,2023-05-15,21:30,Cubbon Park PS,Bengaluru Central,vehicle_theft,420,"Sachar Circle, Cubbon Park",12.953218,77.619786,The complainant parked their Honda Activa bearing registration KA-69-AB-4492 near Jain Road junction and upon returning after 5 hours found the vehicle missing.,open
9,FIR-2023-CUB-009,2023-06-11,14:30,Cubbon Park PS,Bengaluru Central,cyber_fraud,302,"Sridhar Chowk, Cubbon Park",13.019985,77.62531,The complainant received a call from an unknown number claiming to be a bank official and was convinced to share their OTP. Rs 32154 was subsequently transferred without consent.,closed
10,FIR-2023-SHI-010,2023-07-28,21:30,Shivajinagar PS,Bengaluru Central,cyber_fraud,302,"Badal Ganj, Shivajinagar",12.970453,77.635134,The complainant received a call from an unknown number claiming to be a bank official and was convinced to share their OTP. Rs 16557 was subsequently transferred without consent.,chargesheeted
11,FIR-2024-DEV-011,2024-07-28,00:00,Devanahalli PS,Bengaluru North,vehicle_theft,379,"Gokhale Chowk, Devanahalli",13.080305,77.616102,The complainant parked their Bajaj Pulsar bearing registration KA-56-AB-3088 near Sachdev Ganj junction and upon returning after 1 hours found the vehicle missing.,open
12,FIR-2023-RAJ-012,2023-09-13,21:00,Rajajinagar PS,Bengaluru West,robbery,394,"Bera Street, Rajajinagar",12.997812,77.588413,The complainant was intercepted by 4 persons who forcibly snatched their bag containing cash Rs 231651 and jewellery.,open
13,FIR-2023-RAJ-013,2023-04-21,12:00,Rajajinagar PS,Bengaluru West,robbery,420,"Savant Road, Rajajinagar",12.942043,77.581659,The complainant was intercepted by 2 persons who forcibly snatched their bag containing cash Rs 63438 and jewellery.,under_investigation
14,FIR-2024-HEB-014,2024-07-03,10:00,Hebbal PS,Bengaluru North,robbery,379,"Varkey Marg, Hebbal",13.073504,77.573122,The complainant was intercepted by 5 persons who forcibly snatched their bag containing cash Rs 118918 and jewellery.,open
15,FIR-2024-RAJ-015,2024-03-22,00:15,Rajajinagar PS,Bengaluru West,robbery,394,"Mann, Rajajinagar",12.96293,77.594887,The complainant was intercepted by 4 persons who forcibly snatched their bag containing cash Rs 227302 and jewellery.,under_investigation
