fir_number,date_filed,time_filed,police_station,district,crime_type,ipc_sections,location_description,latitude,longitude,description_text,status,filed_by_officer_id,created_at
BLR-2024-0001,2026-02-28,11:00:00,Cunningham Road PS,Bengaluru Central,Domestic Violence,"IPC 498A, IPC 323",Cunningham Road,12.971,77.591001,A case of domestic violence occurred near Cunningham Road area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,1,2026-02-28 01:43:00
BLR-2024-0002,2025-08-19,08:15:00,Sadashivanagar PS,Bengaluru North,Robbery,"IPC 392, IPC 394",Malleshwaram,13.05543,77.552225,"An incident of robbery was reported in Malleshwaram, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,2,2025-08-19 02:32:00
BLR-2024-0003,2026-04-30,00:30:00,JP Nagar PS,Bengaluru South,Theft,IPC 379,JP Nagar,12.891858,77.563919,Residents of JP Nagar reported a theft incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,under_investigation,3,2026-04-30 04:14:00
BLR-2024-0004,2025-08-04,06:30:00,Jayanagar PS,Bengaluru South,Stalking,IPC 354D,Jayanagar,12.931249,77.60666,A case of stalking occurred near Jayanagar area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,4,2025-08-04 04:21:00
BLR-2024-0005,2026-01-09,14:50:00,Marathahalli PS,Bengaluru East,Burglary,IPC 379,Marathahalli,12.962438,77.744866,A complaint regarding burglary was lodged at the Marathahalli police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,5,2026-01-09 01:24:00
BLR-2024-0006,2025-09-13,13:20:00,Indiranagar PS,Bengaluru East,Cheating,IPC 379,Indiranagar,12.978718,77.671275,Residents of Indiranagar reported a cheating incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,6,2025-09-13 04:34:00
BLR-2024-0007,2026-01-02,00:30:00,Jalahalli PS,Bengaluru North,Kidnapping,"IPC 363, IPC 365",Sarjapur,13.024728,77.570522,Residents of Sarjapur reported a kidnapping incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,under_investigation,7,2026-01-02 03:36:00
BLR-2024-0008,2025-11-23,13:20:00,Jayanagar PS,Bengaluru South,Vehicle Theft,IPC 379,Kammanahalli,12.893208,77.565953,"An incident of vehicle theft was reported in Kammanahalli, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,8,2025-11-23 02:55:00
BLR-2024-0009,2025-08-25,14:50:00,Hebbal PS,Bengaluru North,Chain Snatching,IPC 379,Hebbal,13.042808,77.581739,A complaint regarding chain snatching was lodged at the Hebbal police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,9,2025-08-25 03:22:00
BLR-2024-0010,2025-10-27,00:30:00,MG Road PS,Bengaluru Central,Cybercrime,"IT Act 66C, IT Act 66D",MG Road,12.996807,77.608073,Residents of MG Road reported a cybercrime incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,10,2025-10-27 05:40:00
BLR-2024-0011,2025-06-11,18:30:00,Hebbal PS,Bengaluru North,Hit and Run,"IPC 279, IPC 304A",Hebbal,13.052048,77.567137,A case of hit and run occurred near Hebbal area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,closed,11,2025-06-11 03:59:00
